yr,mo,period,Treatment_Number,plot,stake,east,north,species,sex,reprod,vagiNAO,nipples,pregNAOnt,wgt,tag,note2,ltag,note3,note5
2012,8,408,1,1,12,681213.545,3535281.561,PP,F,,,,,26,,,,,
2011,7,395,1,1,12,681213.545,3535281.561,DM,M,,,,,43,000134,,000135,,
2011,5,394,1,1,12,681213.545,3535281.561,PP,M,,,,,,3B691F,*,,,E
2005,1,320,1,1,12,681213.545,3535281.561,PB,F,,,,,31,165446,*,0,,
2005,12,330,1,1,12,681213.545,3535281.561,OT,M,,,,,24,552450,,0,,
2006,10,341,1,1,12,681213.545,3535281.561,PP,F,,,E,P,21,203B67,,0,,
2005,9,328,1,1,12,681213.545,3535281.561,PB,M,,,,,30,7B294B,,0,,
2004,12,319,1,1,12,681213.545,3535281.561,PB,M,,,,,29,757507,,0,,
2005,8,326,1,1,12,681213.545,3535281.561,PB,F,,,E,,29,574C39,*,0,,
2006,3,333,1,1,12,681213.545,3535281.561,DM,F,,S,,,39,,,0,,
2005,7,325,1,1,12,681213.545,3535281.561,PB,M,,,,,20,7B2948,*,0,,
2007,7,350,1,1,12,681213.545,3535281.561,DO,M,,,,,44,1E553F,,,,
2007,5,348,1,1,12,681213.545,3535281.561,PB,F,,,E,,32,3E094B,,,,
2007,8,351,1,1,12,681213.545,3535281.561,PB,F,,,,,30,3E094B,,,,
2007,10,353,1,1,12,681213.545,3535281.561,RM,F,,,E,,16,4C3255,*,,,
2007,4,347,1,1,12,681213.545,3535281.561,PB,M,,,,,40,794128,,,,
2007,3,346,1,1,12,681213.545,3535281.561,PE,F,,,E,P,26,495767,,,,
2007,9,352,1,1,12,681213.545,3535281.561,PP,F,,,,,14,470249,,,,
2003,8,303,1,1,12,681213.545,3535281.561,DO,M,,,,,48,1C0C75,,0,,
2003,3,298,1,1,12,681213.545,3535281.561,DO,F,,,,,50,0C2314,,0,,
2003,5,300,1,1,12,681213.545,3535281.561,OT,F,J,,,,11,081A00,*,0,,
2003,9,304,1,1,12,681213.545,3535281.561,PP,M,,,,,13,613768,,0,,
2003,5,299,1,1,12,681213.545,3535281.561,PP,F,,,,,11,0B0E73,*,0,,
2003,5,299,1,1,12,681213.545,3535281.561,PP,F,,,,P,17,2D5B0E,*,0,,
2004,8,315,1,1,12,681213.545,3535281.561,PB,M,S,,,,27,757507,,0,,
2002,12,294,1,1,12,681213.545,3535281.561,DO,M,,,,,42,460E62,,0,,D
1987,7,113,1,1,12,681213.545,3535281.561,DM,M,,,,,45,6806,,0,,
1988,11,128,1,1,12,681213.545,3535281.561,PE,F,J,,,,12,7500,,0,,
1992,5,171,1,1,12,681213.545,3535281.561,PP,M,,,,,13,110,,0,,
2008,9,365,1,1,12,681213.545,3535281.561,PP,F,,,,,14,29023F,*,,,
2008,3,358,1,1,12,681213.545,3535281.561,DO,F,,S,,,55,4A522D,,,,
2008,1,356,1,1,12,681213.545,3535281.561,PB,F,,,,,29,102A5F,,,,
2008,7,363,1,1,12,681213.545,3535281.561,PP,F,,,,,15,1F6D17,,,,
2008,4,359,1,1,12,681213.545,3535281.561,DM,M,,,,,38,253614,,,,
2002,6,289,1,1,12,681213.545,3535281.561,PP,M,,,,,23,7C725D,*,0,,
2001,8,279,1,1,12,681213.545,3535281.561,PP,M,,,,,14,400D1E,*,0,,
2002,10,292,1,1,12,681213.545,3535281.561,DO,M,,,,,51,460E62,,0,,
2001,3,273,1,1,12,681213.545,3535281.561,PB,F,,,,,25,7A6475,,0,,
2001,8,279,1,1,12,681213.545,3535281.561,DO,F,,,R,,50,725,*,0,,
1996,1,216,1,1,12,681213.545,3535281.561,DM,M,J,,,,27,80,*,0,,
1996,3,218,1,1,12,681213.545,3535281.561,DM,F,,,E,,52,16BA92,,0,,
1997,4,230,1,1,12,681213.545,3535281.561,DM,F,,,E,,49,1DF18F,,0,,
1997,2,228,1,1,12,681213.545,3535281.561,OT,M,,,,,22,296991,*,0,,
1995,12,215,1,1,12,681213.545,3535281.561,DM,F,,,B,,48,16BA92,,0,,
1996,4,219,1,1,12,681213.545,3535281.561,DO,M,J,,,,36,F80F90,*,0,,
1996,12,227,1,1,12,681213.545,3535281.561,DM,M,,,,,44,14CAAD,,0,,
1996,10,225,1,1,12,681213.545,3535281.561,DM,F,,S,,,27,310FD5,*,0,,
1997,3,229,1,1,12,681213.545,3535281.561,RM,F,,,E,P,18,2666,*,0,,
1995,7,210,1,1,12,681213.545,3535281.561,DM,F,J,,,,35,16BA92,*,0,,
1997,12,238,1,1,12,681213.545,3535281.561,DM,F,,,,,39,1DF18F,,0,,
1999,9,257,1,1,12,681213.545,3535281.561,PP,F,,,E,P,21,5022PP,,0,,
1998,8,246,1,1,12,681213.545,3535281.561,DM,M,J,,,,26,48,*,0,,
1997,10,236,1,1,12,681213.545,3535281.561,DM,F,,,,,39,1DF18F,,0,,
1982,8,61,1,1,12,681213.545,3535281.561,DM,F,,,,,39,3340,,0,,
1982,3,56,1,1,12,681213.545,3535281.561,PP,M,,,,,18,7002,,0,,
1985,7,91,1,1,12,681213.545,3535281.561,DM,M,,,,,39,6209,,0,,
1987,4,110,1,1,12,681213.545,3535281.561,DM,M,,,,,43,6806,,0,,
1987,4,109,1,1,12,681213.545,3535281.561,DM,M,,,,,44,6806,,0,,
1985,8,92,1,1,12,681213.545,3535281.561,DO,M,,,,,48,6149,,0,,
1985,1,86,1,1,12,681213.545,3535281.561,DM,F,,,,,40,5622,,0,,
1985,10,94,1,1,12,681213.545,3535281.561,DM,M,,,,,39,6296,,0,,
1984,4,78,1,1,12,681213.545,3535281.561,DM,F,,,,,42,5475,,0,,
1984,2,76,1,1,12,681213.545,3535281.561,DM,M,,,,,43,5314,,0,,
1985,6,90,1,1,12,681213.545,3535281.561,DO,M,,,,,44,6149,,0,,
2012,9,409,1,1,13,681219.887,3535281.58,DM,M,,,,,52,000661,,000660,,
2012,7,407,1,1,13,681219.887,3535281.58,PP,F,,,,,16,,,,,
2004,12,319,1,1,13,681219.887,3535281.58,PE,F,,,,P,30,4B3901,*,0,,
2007,6,349,1,1,13,681219.887,3535281.58,PB,F,,,,,19,2D507E,*,,,
2007,8,351,1,1,13,681219.887,3535281.58,OT,M,,,,,21,2F3102,,,,
2004,5,312,1,1,13,681219.887,3535281.58,PP,M,,,,,18,48434B,*,0,,
2003,3,297,1,1,13,681219.887,3535281.58,PB,M,,,,,33,7E1101,,0,,
2002,12,294,1,1,13,681219.887,3535281.58,PB,M,J,,,,14,25056D,*,0,,
2003,8,303,1,1,13,681219.887,3535281.58,PP,M,,,,,15,613768,,0,,
2003,3,298,1,1,13,681219.887,3535281.58,PP,M,,,,,17,76142A,,0,,
2003,11,306,1,1,13,681219.887,3535281.58,OT,F,,,,,26,04410A,*,0,,
1987,11,117,1,1,13,681219.887,3535281.58,OL,F,,,,,24,7966,,0,,
1990,1,142,1,1,13,681219.887,3535281.58,OL,M,,,,,28,8579,,0,,
1988,6,123,1,1,13,681219.887,3535281.58,NAO,M,,,,,174,8508,,0,,
1990,1,143,1,1,13,681219.887,3535281.58,DM,F,,,,,37,1102,,0,,
1990,7,149,1,1,13,681219.887,3535281.58,DM,M,,,,,43,1398,,0,,
1988,9,126,1,1,13,681219.887,3535281.58,DM,M,,,,,39,7301,,0,,
1987,10,116,1,1,13,681219.887,3535281.58,DM,F,,,,,38,7146,,0,,
1993,11,189,1,1,13,681219.887,3535281.58,DM,F,,,,,40,4E1B76,*,,,
1991,7,161,1,1,13,681219.887,3535281.58,DO,M,,,,,65,1763,,1763,,
1991,6,160,1,1,13,681219.887,3535281.58,PE,F,,,E,,,0,,0,,E
1991,3,157,1,1,13,681219.887,3535281.58,DM,M,,,,,40,1600,,0,,
1993,3,181,1,1,13,681219.887,3535281.58,DM,M,,,,,47,2459,,2459,,
1991,5,159,1,1,13,681219.887,3535281.58,OT,F,,,E,,34,1759,,0,,
1993,6,184,1,1,13,681219.887,3535281.58,DM,M,,,,,47,195057,*,0,,
1992,1,167,1,1,13,681219.887,3535281.58,DM,M,,,,,53,1985,,-761,,
1991,1,155,1,1,13,681219.887,3535281.58,DM,M,,,,,43,1342,,0,,
1993,9,187,1,1,13,681219.887,3535281.58,DM,M,,,,,35,4DE147,*,0,,
1995,3,205,1,1,13,681219.887,3535281.58,DO,M,,,,,39,144782,,0,,
2007,11,354,1,1,13,681219.887,3535281.58,DO,M,,,,,50,6D5049,,,,
2001,10,281,1,1,13,681219.887,3535281.58,PB,F,,,,,26,3B7E0C,*,0,,
2001,8,279,1,1,13,681219.887,3535281.58,PB,M,,,,,33,3D1664,*,0,,
2000,7,267,1,1,13,681219.887,3535281.58,PB,F,,,,,23,5E5F07,*,0,,
2001,3,274,1,1,13,681219.887,3535281.58,DM,F,,,E,,47,746222,,0,,
2002,5,288,1,1,13,681219.887,3535281.58,PP,F,,,E,,17,76160D,,0,,
1996,12,227,1,1,13,681219.887,3535281.58,DO,M,,,,,36,700B1D,*,0,,
1997,5,231,1,1,13,681219.887,3535281.58,OT,M,J,,,,19,2787,*,0,,
1998,3,240,1,1,13,681219.887,3535281.58,DM,F,,,,,,2505,,0,,
2000,1,261,1,1,13,681219.887,3535281.58,PB,M,,,,,24,6053PB,*,0,,
1998,11,249,1,1,13,681219.887,3535281.58,DO,M,,,,,56,2673,,0,,
1998,3,241,1,1,13,681219.887,3535281.58,DM,F,,,E,,45,2505,,0,,
1983,2,65,1,1,13,681219.887,3535281.58,DO,M,,,,,54,3894,,0,,
1981,1,42,1,1,13,681219.887,3535281.58,NAO,M,,,,,173,2703,,0,,
1983,1,64,1,1,13,681219.887,3535281.58,DM,M,,,,,46,3876,,0,,
1982,5,58,1,1,13,681219.887,3535281.58,DM,M,,,,,45,3315,,0,,
1982,7,60,1,1,13,681219.887,3535281.58,OT,M,,,,,21,3622,,0,,
1984,9,83,1,1,13,681219.887,3535281.58,DO,M,,,,,52,5512,,0,,
1983,8,71,1,1,13,681219.887,3535281.58,DO,M,,,,,42,5273,,0,,
1985,7,91,1,1,13,681219.887,3535281.58,DO,M,,,,,45,6149,,0,,
1984,2,76,1,1,13,681219.887,3535281.58,OL,F,,S,,,30,5176,,0,,
1985,2,87,1,1,13,681219.887,3535281.58,DM,,,,,,42,5108,,0,,
1985,1,86,1,1,13,681219.887,3535281.58,DO,M,,,,,48,5513,,0,,
2012,7,407,1,1,14,681225.779,3535281.675,PP,M,,,,,17,,,,,
2012,12,412,1,1,14,681225.779,3535281.675,PP,M,,,,,20,00F7FF,,,,
2007,10,353,1,1,14,681225.779,3535281.675,SF,M,,,,,60,7B701C,*,,,
2007,9,352,1,1,14,681225.779,3535281.675,PB,F,,,,,31,365074,,,,
2003,6,301,1,1,14,681225.779,3535281.675,PP,M,,,,,17,6B0B79,*,0,,
2002,12,294,1,1,14,681225.779,3535281.675,OT,M,,,,,14,454C5C,,0,,
2003,3,298,1,1,14,681225.779,3535281.675,PB,M,,,,,26,7E1101,,0,,
2004,4,311,1,1,14,681225.779,3535281.675,PP,F,,,,,13,6C134E,*,0,,
1989,5,134,1,1,14,681225.779,3535281.675,OT,M,J,,,,13,8676,,0,,
1991,2,156,1,1,14,681225.779,3535281.675,DM,M,,,,,36,1600,,0,,
2008,6,361,1,1,14,681225.779,3535281.675,PB,M,,,,,45,436A17,,,,
2002,4,287,1,1,14,681225.779,3535281.675,PP,F,,,,,15,76160D,,0,,
2000,8,268,1,1,14,681225.779,3535281.675,PP,M,,,,,18,2D2C59,,0,,
1996,3,218,1,1,14,681225.779,3535281.675,DM,M,J,,,,23,63,*,0,,
2000,2,262,1,1,14,681225.779,3535281.675,PP,M,,,,,19,0120PP,,0,,
1999,1,251,1,1,14,681225.779,3535281.675,DO,F,,,,,53,86,,0,,
2000,6,265,1,1,14,681225.779,3535281.675,PB,F,,,E,,28,6013PB,,0,,
1999,3,253,1,1,14,681225.779,3535281.675,DM,F,,,,,40,440,,0,,
1997,12,238,1,1,14,681225.779,3535281.675,DO,M,,,,,56,2651,,0,,
1998,9,247,1,1,14,681225.779,3535281.675,DM,F,,,,,37,33,*,0,,
1983,3,66,1,1,14,681225.779,3535281.675,OL,F,,S,,,43,3836,,0,,
1983,1,64,1,1,14,681225.779,3535281.675,DO,F,,S,,,46,3896,,0,,
1984,2,76,1,1,14,681225.779,3535281.675,OL,M,,,,,33,5279,,0,,
1984,9,83,1,1,14,681225.779,3535281.675,DM,M,,,,,40,5436,,0,,
1987,3,108,1,1,14,681225.779,3535281.675,DM,M,,,,,42,6171,,6998,,
2011,10,399,1,1,15,681231.824,3535281.682,PP,M,,,,,20,5D1479,,,,
2012,10,410,1,1,15,681231.824,3535281.682,PB,M,,,,,28,011A35,*,,,
2012,6,406,1,1,15,681231.824,3535281.682,PB,F,,,,,27,73664D,*,,,
2010,3,383,1,1,15,681231.824,3535281.682,DM,F,,,E,,42,3F7D22,,,,
2005,9,327,1,1,15,681231.824,3535281.682,OT,F,,,,,21,3A5752,*,0,,
2006,4,335,1,1,15,681231.824,3535281.682,PP,M,,,,,23,632136,,0,,
2007,4,347,1,1,15,681231.824,3535281.682,PB,F,,,,,33,623F01,,,,
2007,3,346,1,1,15,681231.824,3535281.682,PB,F,,,,,32,623F01,*,,,
2007,10,353,1,1,15,681231.824,3535281.682,SF,F,,,,,84,237A5A,*,,,
2003,11,306,1,1,15,681231.824,3535281.682,DO,M,,,,,49,724470,*,0,,
2004,8,315,1,1,15,681231.824,3535281.682,PB,M,M,,,,28,25302E,,0,,
2003,6,301,1,1,15,681231.824,3535281.682,PP,M,,,,,12,613768,*,0,,
1989,9,138,1,1,15,681231.824,3535281.682,OL,M,,,,,29,8579,,0,,
1987,11,117,1,1,15,681231.824,3535281.682,PM,M,,,,,26,6810,,0,,
1989,5,134,1,1,15,681231.824,3535281.682,DM,F,,,,,35,8677,,0,,
1989,1,130,1,1,15,681231.824,3535281.682,DM,M,,,,,41,8812,,0,,
1989,2,131,1,1,15,681231.824,3535281.682,OL,M,,,,,41,7483,,0,,
1992,8,175,1,1,15,681231.824,3535281.682,DO,M,,,,,57,1982,,0,,
1995,4,206,1,1,15,681231.824,3535281.682,DM,M,,,,,45,0DE45D,*,0,,
1992,5,171,1,1,15,681231.824,3535281.682,PP,F,,S,,,15,7010,,0,,
2009,4,372,1,1,15,681231.824,3535281.682,PB,M,,,,,45,436A17,,,,
2009,5,373,1,1,15,681231.824,3535281.682,PP,M,,,,,,130020,,,,E
2008,3,358,1,1,15,681231.824,3535281.682,DO,M,,,,,53,4D4329,,,,
2008,2,357,1,1,15,681231.824,3535281.682,DO,F,,S,,,52,4A522D,,,,
2007,11,354,1,1,15,681231.824,3535281.682,DM,M,,,,,35,253614,*,,,
1997,5,231,1,1,15,681231.824,3535281.682,PB,F,,,E,,42,15B1DA,,0,,
1996,2,217,1,1,15,681231.824,3535281.682,PP,M,,,,,21,1F526B,,0,,
1998,11,249,1,1,15,681231.824,3535281.682,DO,F,,,,,51,86,,0,,
1998,9,247,1,1,15,681231.824,3535281.682,PB,M,,,,,29,5150PB,*,0,,
1997,7,234,1,1,15,681231.824,3535281.682,PP,M,,,,,14,8112PP,*,0,,
1983,3,66,1,1,15,681231.824,3535281.682,PF,M,,,,,6,6502,,0,,
1978,5,11,1,1,15,681231.824,3535281.682,DM,M,,,,,42,4509,,0,,
1986,10,104,1,1,15,681231.824,3535281.682,DM,F,,,R,,53,6701,,0,,
1983,11,74,1,1,15,681231.824,3535281.682,DO,F,,,,,37,5308,,0,,
1983,7,70,1,1,15,681231.824,3535281.682,DO,M,,,,,38,5273,,0,,
1987,5,111,1,1,15,681231.824,3535281.682,DM,M,,,,,44,6171,,6998,,
2011,12,400,1,1,16,681238.275,3535281.498,OT,M,,,,,25,000244,*,000209,*,
2011,10,399,1,1,16,681238.275,3535281.498,PP,F,,P,,,18,334849,*,,,
2011,10,398,1,1,16,681238.275,3535281.498,PP,M,,,,,19,5D1479,*,,,
2005,3,321,1,1,16,681238.275,3535281.498,PB,M,,,,,38,757507,,0,,
2004,11,318,1,1,16,681238.275,3535281.498,PB,M,,,,,33,757507,,0,,
2006,11,342,1,1,16,681238.275,3535281.498,PP,M,,,,,17,64393E,,0,,
2007,10,353,1,1,16,681238.275,3535281.498,OT,F,,,,,26,4D7609,*,,,
2007,8,351,1,1,16,681238.275,3535281.498,PP,M,,,,,20,2C6A06,,,,
2007,6,349,1,1,16,681238.275,3535281.498,PB,F,,,,,21,134163,*,,,
1988,12,129,1,1,16,681238.275,3535281.498,DM,M,,,,,48,7451,,0,,
1987,10,116,1,1,16,681238.275,3535281.498,NAO,F,,,E,,188,7033,,0,,
1988,10,127,1,1,16,681238.275,3535281.498,NAO,M,,,,,162,7302,,0,,
1990,2,144,1,1,16,681238.275,3535281.498,DM,M,,,,,44,1114,,0,,
1992,8,175,1,1,16,681238.275,3535281.498,PP,F,,,,,19,7010,,0,,
1991,6,160,1,1,16,681238.275,3535281.498,DM,M,,,,,51,1546,,0,,
2008,6,362,1,1,16,681238.275,3535281.498,PB,M,,,,,47,436A17,,,,
2008,5,360,1,1,16,681238.275,3535281.498,PB,M,,,,,45,436A17,,,,
2002,5,288,1,1,16,681238.275,3535281.498,PB,M,,,,,43,5B7263,,0,,
2000,9,269,1,1,16,681238.275,3535281.498,OT,M,,,,,25,0B6126,,0,,
1996,4,219,1,1,16,681238.275,3535281.498,PF,M,,,,,8,0D568F,,0,,
1998,5,242,1,1,16,681238.275,3535281.498,PP,M,,,,,22,0030PP,*,0,,
1997,7,234,1,1,16,681238.275,3535281.498,DM,F,,,,,32,2945,,0,,
1999,5,255,1,1,16,681238.275,3535281.498,DM,F,,,B,,41,33,,0,,
1982,2,55,1,1,16,681238.275,3535281.498,RM,M,,,,,9,5012,,0,,
1982,7,60,1,1,16,681238.275,3535281.498,DM,F,,,,,34,3571,,0,,
1985,12,96,1,1,16,681238.275,3535281.498,DM,F,,,,,44,6727,,0,,
1985,1,86,1,1,16,681238.275,3535281.498,DM,M,,,,,37,5722,,0,,
1983,12,75,1,1,16,681238.275,3535281.498,OL,M,,,,,36,5279,,0,,
2012,10,410,1,1,17,681244.224,3535281.574,PP,F,,,,,18,00F9F9,*,,,
2012,9,409,1,1,17,681244.224,3535281.574,PP,M,,,,,16,,,,,
2012,5,405,1,1,17,681244.224,3535281.574,PF,M,,,,,8,3C5556,*,,,
2012,7,407,1,1,17,681244.224,3535281.574,PB,F,,,,,16,,,,,
2006,7,338,1,1,17,681244.224,3535281.574,DO,F,,S,,,55,441D7F,,0,,
2006,9,340,1,1,17,681244.224,3535281.574,PP,M,,,,,21,2F2E7F,,0,,
2006,3,334,1,1,17,681244.224,3535281.574,PP,M,,,,,20,632136,*,0,,
2004,9,316,1,1,17,681244.224,3535281.574,PP,M,,,,,16,7676,*,0,,
2006,4,335,1,1,17,681244.224,3535281.574,PP,M,,,,,19,6D7B02,*,0,,
2007,8,351,1,1,17,681244.224,3535281.574,PB,F,,,,,30,60072A,*,,,
2007,9,352,1,1,17,681244.224,3535281.574,PB,F,,,,,33,60072A,,,,
2007,7,350,1,1,17,681244.224,3535281.574,PP,M,,,,,13,3D036B,*,,,
2007,10,353,1,1,17,681244.224,3535281.574,PB,F,,,,,29,102A5F,,,,
2007,6,349,1,1,17,681244.224,3535281.574,SH,M,,,,,150,244429,*,,,
2003,6,301,1,1,17,681244.224,3535281.574,PP,M,,,,,14,096E0A,*,0,,
2003,5,299,1,1,17,681244.224,3535281.574,PB,F,,,,,25,4C5E55,*,0,,
2003,3,298,1,1,17,681244.224,3535281.574,RM,F,,,,P,10,6B3D7C,*,0,,
1990,6,148,1,1,17,681244.224,3535281.574,OT,F,,,,,25,1243,,0,,
1988,12,129,1,1,17,681244.224,3535281.574,RM,F,,,E,P,11,7340,,0,,
1990,5,147,1,1,17,681244.224,3535281.574,DM,M,,,,,40,1126,,0,,
1991,2,156,1,1,17,681244.224,3535281.574,DM,M,,,,,44,1599,,0,,E
1993,4,182,1,1,17,681244.224,3535281.574,PP,F,,,,,16,0DBF,,0,,
1991,9,163,1,1,17,681244.224,3535281.574,OT,F,,S,E,,29,1809,,0,,
